,sma_f,sma_s,rsi,sma_r,macd,macdSignal,macdHist,stoch_k,stoch_d,sma_test,macd_test,stoch_over_bought,stoch_over_sold,rsi_over_bought,rsi_over_sold,price,high,low,next_10_high,next_10_low,next_50_high,next_50_low,next_100_high,next_100_low
2018-01-14 14:55:00+00:00,13440.226397233992,13428.203771689,58.30889066836581,57.12629748428842,12.93516093301514,12.811917231353979,0.12324370166116161,60.36005143962232,59.14128095937172,1,1,0,0,0,0,13490.7189517,13494.3805962,13488.2778553,13430.0,13379.0,13082.0,13060.0,13217.0,13186.802456700001
2018-01-14 14:56:00+00:00,13440.844347103992,13429.903771689002,56.236232291959766,57.066717509502574,12.483667681235602,12.746267321330304,-0.2625996400947024,57.1457657253366,58.79505527295612,1,0,0,0,0,0,13485.0,13491.9394999,13480.0,13389.0,13371.0,13088.0,13061.0,13233.0,13206.0
2018-01-14 14:57:00+00:00,13441.364347103992,13431.803771689001,54.064892478681934,56.52051563783464,11.509037154271937,12.49882128791863,-0.9897841336466939,50.002908582479456,55.83624191581331,1,0,0,0,0,0,13479.0,13488.0,13479.0,13378.4285198,13351.0,13068.0,13035.0,13233.0,13206.0
2018-01-14 14:58:00+00:00,13441.704347103992,13433.403771689002,50.890750302847366,55.711891631523564,9.89633190204404,11.978323410743712,-2.081991508699673,44.979990324267085,50.70955487736157,1,0,0,0,0,0,13470.0,13480.0,13463.0,13351.0,13251.0,13037.0,13018.0,13231.0,13208.0
2018-01-14 14:59:00+00:00,13441.804347103993,13434.873771689001,49.84034832788134,54.793674023790885,8.280721440587513,11.238803016712472,-2.9580815761249593,43.61774379541516,46.20021423405442,1,0,0,0,0,0,13467.0,13478.0,13465.0,13287.0,13262.0,13056.0,13023.0,13230.0,13200.0
2018-01-14 15:00:00+00:00,13441.904347103993,13436.473771689001,48.405728412147916,54.33231508908851,6.601474253515335,10.311337264073044,-3.7098630105577097,42.459442637114,43.68572558559927,1,0,0,0,0,0,13463.0,13467.528536400001,13463.0,13300.0,13270.0,13060.0,13038.0,13227.0,13207.0
2018-01-14 15:01:00+00:00,13441.384347103993,13437.543771689001,38.78701801839778,53.24950520720278,2.657887719444261,8.780647355147288,-6.1227596357030265,42.773661018889335,42.95028248380669,1,0,0,0,0,0,13431.0,13462.6463437,13421.0,13300.0,13287.0,13168.0,13051.0,13224.0,13176.0
2018-01-14 15:02:00+00:00,13440.284347103992,13438.353771689,34.414336954873804,51.93771333842961,-1.9777756644507463,6.6289627512276805,-8.606738415678427,42.834885508685254,42.68932972156339,1,0,0,0,0,0,13412.0,13435.0,13410.0,13300.0,13291.0,13167.273686,13138.0,13185.0,13143.0
2018-01-14 15:03:00+00:00,13439.804347103993,13438.523771689,33.98007989904402,50.90011074082577,-5.746711071611571,4.15382798665983,-9.900539058271402,40.35041345899582,41.986319995524,1,0,0,0,0,0,13410.0,13414.0,13410.0,13322.0,13296.0,13161.0,13150.0,13180.0,13150.0
2018-01-14 15:04:00+00:00,13440.124347103992,13438.593771689,38.95719720621825,49.91507763065564,-7.676826150480338,1.7876971592317963,-9.464523309712135,34.69750010887323,39.294266358851964,1,0,0,0,0,0,13422.0,13424.0,13410.0,13325.0,13287.0,13157.0,13114.0,13179.0,13125.0
